uid,Licensee,DBA,License_No,Street_Address,City,ZIP,County,Category,Month,Year,Certification,source_geo,lat,long,geometry
2998,THE GREEN SOLUTION LLC,,402R-00303,14301 East Colfax Avenue,Aurora,80011,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.74037493,-104.8217321,POINT (-104.8217321 39.74037493)
2554,APOGEE MANAGEMENT INC,TERRAPIN CARE STATION,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora,80012,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.696583,-104.8591,POINT (-104.8591 39.696583)
2993,THE GREEN SOLUTION LLC,,402R-00297,350 South Potomac Street,Aurora,80012,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.710117,-104.8278728,POINT (-104.8278728 39.710117)
2730,GREENWERKZ LLC,GREEN DRAGON COLORADO,402R-00377,19151 East Quincy Avenue,Aurora,80013,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.63859148,-104.7647602,POINT (-104.7647602 39.63859148)
2976,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY,402R-00275,16840 East Iliff Avenue,Aurora,80013,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.67267655,-104.7921336,POINT (-104.7921336 39.67267655)
2692,FUTUREVISION LTD,MEDICINE MAN AURORA,402R-00296,1901 South Havana Street,Aurora,80014,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.6817391,-104.8664541,POINT (-104.8664541 39.6817391)
2747,HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,402R-00317,"11002 East Yale Avenue, Unit A",Aurora,80014,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.667522,-104.86064,POINT (-104.86064 39.667522)
2806,LIGHTSHADE LABS LLC,LIGHTSHADE,402R-00579,16821 East Iliff Avenue,Aurora,80014,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.67367,-104.7921,POINT (-104.7921 39.67367)
2996,THE GREEN SOLUTION LLC,,402R-00300,3179 South Peoria Court,Aurora,80014,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.65880235,-104.8482665,POINT (-104.8482665 39.65880235)
2714,GREEN HEART LTD,,402R-00364,19005 East Quincy Avenue,Aurora,80015,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.63859393,-104.7661217,POINT (-104.7661217 39.63859393)
2775,JS INVESTMENTS AURORA LLC,EUFLORA,402R-00305,"4343 South Buckley Road, Unit E",Aurora,80015,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.637806,-104.79148,POINT (-104.79148 39.637806)
3004,THE GREEN SOLUTION LLC,,402R-00666,19370 East Quincy Avenue,Aurora,80015,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.638423,-104.7628478,POINT (-104.7628478 39.638423)
2774,JS INVESTMENTS AURORA LLC,EUFLORA,402R-00304,6260 South Gun Club Road,Aurora,80016,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.60256325,-104.7156494,POINT (-104.7156494 39.60256325)
2934,SB ARAPAHOE LLC,STARBUDS,402R-00316,"14655 East Arapahoe Road, Unit A",Aurora,80016,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,TEXAS,39.5957083,-104.8185799,POINT (-104.8185799 39.5957083)
1516,DUTCH BOTANICALS LLC,MORGANIC CONCENTRATES,404R-00226,"17600 East Exposition Drive, Unit C-2",Aurora,80017,Arapahoe,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7041372,-104.7829408,POINT (-104.7829408 39.7041372)
1930,DUTCH BOTANICALS LLC,MORGANIC CONCENTRATES,403R-00731,"17600 East Exposition Drive, Unit C-1",Aurora,80017,Arapahoe,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7041372,-104.7829408,POINT (-104.7829408 39.7041372)
2930,RRAW LLC,ROCKY ROAD AURORA,402R-00307,1712 South Chambers Road,Aurora,80017,Arapahoe,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.68536542,-104.8097885,POINT (-104.8097885 39.68536542)
93,CGFR GROUP INC,KRYSTALEAVES,402-01257,5301 Vasquez Boulevard Unit 101,Commerce City,80022,Adams,MED Licensed Center,3,2019,,TEXAS,39.79416713,-104.9397436,POINT (-104.9397436 39.79416713)
167,FRONT RANGE BOTANICAL LLC,SOUTH PARK FARMA,402-01272,"5715 Fairfax Street, Unit C",Commerce City,80022,Adams,MED Licensed Center,3,2019,,TEXAS,39.7995651,-104.9290319,POINT (-104.9290319 39.7995651)
312,N&G ENTERPRISES LLC,LOUD,402-01300,5385 Quebec Street,Commerce City,80022,Adams,MED Licensed Center,3,2019,,TEXAS,39.7932409,-104.9041265,POINT (-104.9041265 39.7932409)
601,CGFR GROUP INC,KRYSTALEAVES,403-01900,5301 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Cultivator,3,2019,,TEXAS,39.79416713,-104.9397436,POINT (-104.9397436 39.79416713)
892,N&G ENTERPRISES LLC,LOUD,403-01922,5385 Quebec Street,Commerce City,80022,Adams,MED Licensed Cultivator,3,2019,,TEXAS,39.7932409,-104.9041265,POINT (-104.9041265 39.7932409)
969,QCI LABS LLC,,403-01913,5303 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Cultivator,3,2019,,TEXAS,39.7945177,-104.9399626,POINT (-104.9399626 39.7945177)
1173,CGFR GROUP INC,KRYSTALEAVES,404-00610,5301 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Infused Product Manufacturer,3,2019,,TEXAS,39.79416713,-104.9397436,POINT (-104.9397436 39.79416713)
1320,QCI LABS LLC,,404-00622,5303 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Infused Product Manufacturer,3,2019,,TEXAS,39.7945177,-104.9399626,POINT (-104.9399626 39.7945177)
1385,PLEASANT VALLEY RANCH INC,,407R-00007,5850 Dahlia Street,Commerce City,80022,Adams,MED Licensed Retail Operator,3,2019,,TEXAS,39.80317396,-104.9307598,POINT (-104.9307598 39.80317396)
1466,BOULDER BUILT LLC,,404R-00385,5305 Vasquez Boulevard,Commerce City,80022,Adams,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,CENSUS,39.79289,-104.93984,POINT (-104.93984 39.79289)
1482,CGFR GROUP INC,KRYSTALEAVES,404R-00360,5301 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.79416713,-104.9397436,POINT (-104.9397436 39.79416713)
1594,LIFESTYLE FOODS INC,,404R-00177,6795 East 49th Avenue,Commerce City,80022,Adams,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.7854018,-104.9104156,POINT (-104.9104156 39.7854018)
1815,BOULDER BUILT LLC,,403R-01044,5305 Vasquez Boulevard,Commerce City,80022,Adams,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.79289,-104.93984,POINT (-104.93984 39.79289)
1845,CGFR GROUP INC,KRYSTALEAVES,403R-00981,5301 Vasquez Boulevard Unit 102,Commerce City,80022,Adams,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.79416713,-104.9397436,POINT (-104.9397436 39.79416713)
1903,DEL MUNDO LLC,DEL MUNDO,403R-00991,5303 Vasquez Boulevard #101,Commerce City,80022,Adams,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7945177,-104.9399626,POINT (-104.9399626 39.7945177)
2151,MAGIC FISH LLC,,403R-01131,5297 Vasquez Boulevard,Commerce City,80022,Adams,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.7932451,-104.9399532,POINT (-104.9399532 39.7932451)
2589,C3D CO,HIGHLINE,402R-00655,5846 Dahlia Street,Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.80308,-104.9314,POINT (-104.9314 39.80308)
2604,CGFR GROUP INC,KRYSTALEAVES,402R-00688,5301 Vasquez Boulevard Unit 101,Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.79286,-104.93987,POINT (-104.93987 39.79286)
2688,FRONT RANGE BOTANICAL LLC,SOUTH PARK FARMA,402R-00712,"5715 Fairfax Street, Unit C",Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.8003,-104.9284,POINT (-104.9284 39.8003)
2855,N&G ENTERPRISES LLC,LOUD,402R-00774,5385 Quebec Street,Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.793015,-104.90354,POINT (-104.90354 39.793015)
2961,STARBUDS COMMERCE CITY LLC,STARBUDS,402R-00577,5844 Dahlia Street,Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.80305,-104.9314,POINT (-104.9314 39.80305)
2978,TASTEBUDZ LLC,AROMA,402R-00550,5433 Quebec Street,Commerce City,80022,Adams,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.795792,-104.903656,POINT (-104.903656 39.795792)
218,HERBAL WELLNESS LLC,,402-00698,"400 West South Boulder Road, Suite 2700",Lafayette,80026,Boulder,MED Licensed Center,3,2019,,TEXAS,39.9857879,-105.0950663,POINT (-105.0950663 39.9857879)
330,NINE POUND HAMMER LLC,IGADI,402-01251,1325 South Public Road,Lafayette,80026,Boulder,MED Licensed Center,3,2019,,NOM,39.98793901,-105.0906292,POINT (-105.0906292 39.98793901)
755,HERBAL WELLNESS LLC,,403-01050,"1224 Commerce Court, Bays 4-7",Lafayette,80026,Boulder,MED Licensed Cultivator,3,2019,,TEXAS,39.9797977,-105.0722879,POINT (-105.0722879 39.9797977)
930,OPTIONS MEDICAL CENTER WR LLC,OPTIONS,403-01647,"1700 South 120th Street, Unit B1, B2, B3A",Lafayette,80026,Boulder,MED Licensed Cultivator,3,2019,,CENSUS,39.964607,-105.07191,POINT (-105.07191 39.964607)
976,RINO SUPPLY CO INC,,403-01200,10452 Isabelle Road,Lafayette,80026,Boulder,MED Licensed Cultivator,3,2019,,TEXAS,40.0315623,-105.1111706,POINT (-105.1111706 40.0315623)
1047,TDFT LIMITED,[WHT LBL],403-01800,"1224 Commerce Court, Unit 1",Lafayette,80026,Boulder,MED Licensed Cultivator,3,2019,,TEXAS,39.9797977,-105.0722879,POINT (-105.0722879 39.9797977)
1345,TDFT LIMITED,[WHT LBL],404-00532,"1224 Commerce Court, Unit 1",Lafayette,80026,Boulder,MED Licensed Infused Product Manufacturer,3,2019,,TEXAS,39.9797977,-105.0722879,POINT (-105.0722879 39.9797977)
1691,TDFT LIMITED,[WHT LBL],404R-00219,"1224 Commerce Court, Unit 1",Lafayette,80026,Boulder,MED Licensed Retail Marijuana Product Manufacturer,3,2019,,TEXAS,39.9797977,-105.0722879,POINT (-105.0722879 39.9797977)
1949,EVAND MANAGEMENT LLC,ALPINSTASH,403R-00603,1224 Commerce Court Unit 3,Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,TEXAS,39.9797977,-105.0722879,POINT (-105.0722879 39.9797977)
2037,HERBAL WELLNESS LLC,,403R-00282,"1224 Commerce Court, Bays 4-7",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.980164,-105.07366,POINT (-105.07366 39.980164)
2207,OPTIONS MEDICAL CENTER WR LLC,OPTIONS,403R-00294,"1700 South 120th Street, Units B1, B2, B3A",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,,,,
2208,OPTIONS MEDICAL CENTER WR LLC,OPTIONS,403R-01005,"1700 South 120th Street, Unit B4,",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,,,,
2263,RINO SUPPLY CO INC,,403R-00699,10452 Isabelle Road,Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,CENSUS,40.036613,-105.10802,POINT (-105.10802 40.036613)
2308,SKINNY PINEAPPLE INC,THE FARM,403R-00275,"1265 Rock Creek Circle, Suite A",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.974663,-105.07388,POINT (-105.07388 39.974663)
2309,SKINNY PINEAPPLE INC,THE FARM,403R-00276,"1265 Rock Creek Circle, Suite B",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.974663,-105.07388,POINT (-105.07388 39.974663)
2355,TDFT LIMITED,[WHT LBL],403R-00709,"1224 Commerce Court, Unit 1",Lafayette,80026,Boulder,MED Licensed Retail Cultivator,3,2019,,CENSUS,39.980164,-105.07366,POINT (-105.07366 39.980164)
2631,COMPLETE RELEAF CO LLC,COMPLETE RELEAF,402R-00703,"1669 Coal Creek Drive, Suite A",Lafayette,80026,Boulder,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.9845,-105.09531,POINT (-105.09531 39.9845)
2743,HERBAL WELLNESS LLC,HERBAL WELLNESS LLC,402R-00215,"400 West South Boulder Road, Suite 2700",Lafayette,80026,Boulder,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.986893,-105.09448,POINT (-105.09448 39.986893)
2868,NINE POUND HAMMER LLC,IGADI,402R-00678,1325 South Public Road,Lafayette,80026,Boulder,MED Licensed Retail Marijuana Store,3,2019,,NOM,39.98793901,-105.0906292,POINT (-105.0906292 39.98793901)
116,COMPASSIONATE PAIN MANAGEMENT LLC,AJOYA,402-00325,"1100 West Dillion Road, Unit D-3",Louisville,80027,Boulder,MED Licensed Center,3,2019,,CENSUS,39.95878,-105.16071,POINT (-105.16071 39.95878)
2630,COMPASSIONATE PAIN MANAGEMENT LLC,AJOYA,402R-00203,"1100 West Dillon Road, Unit D-3",Louisville,80027,Boulder,MED Licensed Retail Marijuana Store,3,2019,,,,,
2769,J2H2 HOLDINGS LLC,THE GREEN ROOM,402R-00794,972 West Dillon Road,Louisville,80027,Boulder,MED Licensed Retail Marijuana Store,3,2019,,CENSUS,39.958946,-105.16102,POINT (-105.16102 39.958946)
2962,STARBUDS LOUISVILLE LLC,STARBUDS,402R-00214,"1156 West Dillon Road, Unit 3",Louisville,80027,Boulder,MED Licensed Retail Marijuana Store,3,2019,,,,,
12,10185 RIDGE LLC,EVERBLOOM,402-00967,10185 West 49th Avenue,Wheat Ridge,80033,Jefferson,MED Licensed Center,3,2019,,NOM,39.78571957,-105.1117415,POINT (-105.1117415 39.78571957)
290,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,402-00385,4800 Lamar Street,Wheat Ridge,80033,Jefferson,MED Licensed Center,3,2019,,NOM,39.784428,-105.067228,POINT (-105.067228 39.784428)
336,OPTIONS MEDICAL CENTER WR LLC,OPTIONS,402-01015,9085 West 44th Avenue,Wheat Ridge,80033,Jefferson,MED Licensed Center,3,2019,,NOM,39.778158,-105.098401,POINT (-105.098401 39.778158)
405,SOLACE MEDS OF WHEAT RIDGE LLC,,402-00386,4845 Van Gordon Street,Wheat Ridge,80033,Jefferson,MED Licensed Center,3,2019,,NOM,39.78462401,-105.1356198,POINT (-105.1356198 39.78462401)
576,BOULDER ORGANIC FOOD GROUP LLC,POTIONS,403-01313,9135 West 44th Avenue,Wheat Ridge,80033,Jefferson,MED Licensed Cultivator,3,2019,,NOM,39.77817072,-105.0991326,POINT (-105.0991326 39.77817072)
859,MEDICAL MJ SUPPLY LLC,BEST COLORADO MEDS.ORG,403-00578,4800 Lamar Street,Wheat Ridge,80033,Jefferson,MED Licensed Cultivator,3,2019,,NOM,39.784428,-105.067228,POINT (-105.067228 39.784428)
1029,SOLACE MEDS OF WHEAT RIDGE LLC,,403-01337,4845 Van Gordon Street,Wheat Ridge,80033,Jefferson,MED Licensed Cultivator,3,2019,,NOM,39.78462401,-105.1356198,POINT (-105.1356198 39.78462401)
1159,BOULDER ORGANIC FOOD GROUP LLC,POTIONS,404-00337,9125 West 44th Avenue,Wheat Ridge,80033,Jefferson,MED Licensed Infused Product Manufacturer,3,2019,,TEXAS,39.77817503,-105.0989416,POINT (-105.0989416 39.77817503)
1264,LOUD LABS LLC,PYRAMID,404-00485,"4805, 4815, 4825 Van Gordon Street",Wheat Ridge,80033,Jefferson,MED Licensed Infused Product Manufacturer,3,2019,,CENSUS,39.784424,-105.13551,POINT (-105.13551 39.784424)
1277,MEDICAL MJ SUPPLY LLC,GREEN ROOSTER EDIBLES,404-00343,6325 West 48th Avenue,Wheat Ridge,80033,Jefferson,MED Licensed Infused Product Manufacturer,3,2019,,NOM,39.78397492,-105.065333,POINT (-105.065333 39.78397492)
